133	LA Story	"4 General Admission Tickets to the Natural History Museum of Los Angeles County and 4 Production Passes to Taping of the Wheel of Fortune Show, ,T-Shirt, Bag, Keychain, Pen, Signed Photo of Pat Sajak & Vanna White"	"Natural History Museum of Los Angeles County, Wheel of Fortune"	73	29	7	91
134	Sailing and Dining	2 Tickets to a 1.5 Hour Daytime Sail with O'Neil Yacht Charters and a $35 Gift Certificate to Shadowbrook OR Crows Nest	"O'Neil Yacht Charters, Shadowbrook/Crows Nest"	95	38	10	119
135	Jungle Book Kids at the Pacific Repertory Theater in Carmel	4 Tickets to Disney's Jungle Book Kids (show dates are March 17-April 9)	Pacific Repertory Theater	168	67	17	210
136	San Francisco Museum of Modern Art	2 Guest Passes to the San Francisco Museum of Art	San Francisco Museum of Modern Art	50	20	5	63
137	Santa Cruz Ballet Theater	"Four (4) Tickets to the 2017 Nutcracker (Sunday December 17, 2017)"	Santa Cruz Ballet Theater	150	60	15	188
138	Santa Cruz Beach Boardwalk	Four(4) All Day Unlimited Rides Passes	Santa Cruz Beach Boardwalk	146	58	15	183
139	Wheels Around Town	"4 Skating Admissions Passes to the Santa Cruz Roller Palladium, 2 1.5 Hour Segway Tours and a $5 Gift Certificate to Top-A-Lot Yogurt"	"Santa Cruz Roller Palladium, Segwey Santa Cruz, Top-A-Lot"	172	69	17	215
140	Tumbling Party	Tumbling party	Tumbling Tutor	265	106	27	331
141	Snowball Fight	2 All-Day Ski Passes at Tahoe Donner (valid 12/09/2017 - 04/04/2018)	Tahoe Donner	118	47	12	148
142	Bagels and Beach	4 Guest Admission Passes to the Seymour Center at Long Marine Lab and 2 $5 Certificates to The Bagelry	"Seymour Marine Discovery Center, The Bagelry"	42	17	4	53
143	Birdtribe Farm	One Night Gettaway at the Birdtribe Farm AirBNB in La Selva and a Bottle of 2015 Fortino Chardonnay	"Birdtribe Farm, Friend of Spring Hill"	175	70	18	219
144	Santa Cruz Dream Inn	One Night Stay in a Deluxe Ocean View Room plus Overnight Valet Parking and a Bottle of 2015 Fortino Chardonnay	"Santa Cruz Dream Inn, Friend of Spring Hill"	275	110	28	344
145	A Darling Night Away	"One Night Stay in The Darling House Bed & Breakfast in Santa Cruz (November 1 - May 31, Sunday - Thursday nights, excludes holidays)"	The Darlings	125	50	13	156
146	Costanoa Lodge and Camp	Two Night Stay in the Pine Village Tent Bungalow	Costanoa Lodge and Camp	305	122	31	381
147	Forestview Bed & Breakfast	Two Night Stay in the nearby Santa Cruz mountains at the Forestview Bed and Breakfast just outside quaint Boulder Creek. 	Karin & Steve Meyer	200	80	20	250
148	Alfaro Family Vineyard & Winery Wine Tasting	Wine Tasting for 4 at Alfaro Family Vineyards & Winery in Corralitos	Alfaro Family Vineyards & Winery	40	16	4	50
149	Armitage Wines	"Wine Tasting for 6 at Armitage Wines, a Bottle of XYZ and a Bottle of XYZ"	Armitage Wines	150	60	15	188
150	Beauregard Vineyards Wine Tasting	Wine Tasting for 10 at Beauregard Vineyards in Bonny Doon	Beauregard Vineyards	100	40	10	125
151	Wine from Hungary	Bottle of Kreinbacher Brut Prestige from Hungary	Borbely Family	35	14	4	44
152	Bike & Beer	$25 Certificate to Discretion Brewery and an 8-Pass Punch Card with Shuttle Smith Adventures	"Discretion Brewery, Shuttle Smith Adventures"	225	90	23	281
153	The Bam Vino	A Signature SF Giants Wine Bottle Holder with a Bottle of 2014 Belle Glos Pinot Noir	Friend of Spring Hill	100	40	10	125
154	Pelican Ranch Winery Wine Tasting	Private Wine Tasting for 12 at Pelican Ranch Winery in Capitola (expires 3/11/18)	Pelican Ranch Winery	340	136	34	425
155	Santa Cruz Mountain Wine Tasting	2 Santa Cruz Mountain Wine Passports from the Santa Cruz Mountains Winegrowers Association	Santa Cruz Mountains Winegrowers Association	110	44	11	138
156	The Hard Stuff	Tasting for 2 at Venus Spirits and Sipping Glasses	Venus Spirits	32	13	3	40
157	Shop & Dine 1	$25 Gift Card to The Garden Company and a $50 Gift Card to Cafe Cruz	"Cafe Cruz, The Garden Company"	75	30	8	94
158	Camoflage Yourself	Eco-Friendly Leopard Scarf from EcoGoods and a $75 Gift Card to Camoflage	"EcoGoods, Camoflage"	107	43	11	134
159	Shop & Dine 2	$50 Gift Certificate to Greenspace and $50 Gift Certificate to India Joze	"greenspace, India Joze"	100	40	10	125
160	Dinner & Dessert	$25 Gift Card to Kianti's Pizza & Pasta Bar and $20 Gift Card to Mission Hill Creamery	"Kianti's Pizza & Pasta Bar, Mission Hill Creamery"	45	18	5	56
161	Brunch Around Town	2 Breakfast or Lunch Entrees at The Walnut Avenue Cafe and Lunch or Brunch for 2 at Cafe Sparrow (expires 9/11/17)	"The Walnut Avenue Cafe, Cafe Sparrow"	60	24	6	75
162	Kon'nichiwa	$100 Gift Card to Takara Japanese Restaurant	Kristin Dyer	100	40	10	125
163	Shop & Treats 1	$25 Gift Card to Ross and $5 Gift Certificate to Top-A-Lot Yogurt	"Ross, Top-A-Lot"	30	12	3	38
164	Shop & Treats 2	$25 Gift Card to Ross and $5 Gift Certificate to Top-A-Lot Yogurt	"Ross, Top-A-Lot"	30	12	3	38
165	Scotts Valley Sushi 1	$50 Gift Certificate to Otoro Sushi	Otoro Sushi	50	20	5	63
166	Scotts Valley Sushi 2	$50 Gift Certificate to Otoro Sushi	Otoro Sushi	50	20	5	63
167	Local Treats	Santa Cruz Warriors Fun-Pack and a Gift Certificate for 1 Dozen Cookies from Pacific Cookie Company	"Santa Cruz Warriors Basketball, Pacific Cookie Company"	62	25	6	78
168	Boardwalk Basket	"Boardwalk Basket Full of Local Experiences, Treats, and Limited Edition Goodies"	Santa Cruz Seaside Co.	225	90	23	281
169	Naturally Yours	Three Organic Cotton Wraps from Synergy and a $30 GIft Card to Dharma's	"Synergy, Dharma's"	90	36	9	113
170	Local Scene 1	$25 Gift Certificate to Crossroads and a $20 Gift Certificate to Palace Art & Office Supply	"Crossroads, Palace Art & Office Supply"	45	18	5	56
171	Art Attack	Collection of 14 Unique Hand Made Cards by Martha Dociamore and a $20 Gift Certificate to Palace Art & Office Supply	"Bicycle Trip/Jacobs Family, Palace Art & Office Supply"	76	30	8	95
172	Toy Time	$25 Gift Card with Tree Mobile from Wonderland Toys & Classroom Resources and a $20 Gift Card to Palace Art & Office Supply	"Wonderland Toys & Classroom Resources, Palace Art & Office Supply"	65	26	7	81
173	Crafter's Delight	Fully Stocked Box of Stamping and Crafting Supplies from Stampin' Up and a $20 Gift Certificate to Palace Art & Office Supply	"Stampin' Up, Palace Art & Office Supply"	220	88	22	275
174	Listen In	BackBeat GO 3 Sweatproof Wireless Earbuds from Plantronics Inc.	Plantronics	99	40	10	124
175	View from Above	"360fly Camera with Helmet Mount, Handlebar Mount, and VR Goggles"	Bicycle Trip/Jacobs Family	485	194	49	606
176	Drive Safely	$50 Gift Certificate Good Towards Any Vehicle Service at Santa Cruz Tire & Auto Care	Santa Cruz Tire & Auto Care	50	20	5	63
177	Collect & Read	U.S. Mint American Eagle One Ounce Silver Proof Coin and a Signed Copy of The City by Dean Koontz	"Santa Cruz Coin Exchange, Dean Koontz"	110	44	11	138
178	Make Music	Drum with Music Song Book and CD from Music Together Santa Cruz	Music Together Santa Cruz	100	40	10	125
179	Fowl Play Farm Egg Delivery	1 Dozen Farm Fresh Eggs Every Week for 6 Weeks (delivery at school)	Fowl Play Farm/dba Blue House Vineyard	54	22	5	68
180	Animal Health	Gift Basket and a Certificate for a Veterinary Visit from West Side Animal Hospital	West Side Animal Hospital	150	60	15	188
181	Animal Goodies	$50 Gift Certificate to Pet Pals Discount Pet Supplies and a Water Dispenser	"Pet Pals Discount Pet Supplies, Bicycle Trip/Jacobs Family"	60	24	6	75
182	YaDoggie	YaDoggie Starter Package plus 3 Months of Free Dog Food	YaDoggie	250	100	25	313
183	Once Upon the Sand	Earings and Necklace Hand Crafted from Beach Glass on Sterling Hoops and Chain	Once Upon the Sand/Karyn Schmidt	85	34	9	106
184	Starfish Locket	Starfish Locket Necklace	William Clayton Greene Jewlers	99	40	10	124
185	Bejeweled 	Rhodochrosite earings & necklace with two $5 gift certificates	Super Silver Santa Cruz	99.4	40	10	124
186	Ocean Vibe	Blown Glass Wave	Strahle Legacy Planning Law Offices	85	34	9	106
187	Annie Glass	Platinum/Glass Serving Dish	Annie Glass	109	44	11	136
188	Baylands Catwalk	Watercolor with Charcoal by Laurie Barna	Warren/Steinbery Family	150	60	15	188
189	Asian Inspired Art	3 Hand Crafted Mugs by Local Artist Jasper Marino and Hand Embroidered Herons on Silk	Friends of Spring Hill	155	62	16	194
190	"Autumn IV: Bear, Pomegranate & Pears"	"A 9""X12"" Origianl Pastel Painting, Matted and Framed, by Local Artist Mary Offerman"	Mary Offerman	450	180	45	563
191	Garden Consultation	Garden Consultation with Liz Ryan of Wildflower Landscape Design (approx. 2 hours)	Wildflower Landscape Design/Liz Ryan	200	80	20	250
192	Custom Decorative Planter	"Design, Materials and Creation of a Custom Decorative Planter"	Wildflower Landscape Design/Liz Ryan	200	80	20	250
193	Pamper Yourself 1	Rock Star Nails at Beauty by Brooke and $100 of Service with Styist Kaylyn at L'Atelier Salon	"Beauty by Brooke, L'Atelier Salon"	135	54	14	169
194	Pamper Yourself 2	"Chocolate Variety Gift Box from Mutari Chocolate, Scone & Jam Gift Box from Cafe Iveta, and a Dreams Co. Cotton/Poly Bathrobe"	"Mutari Chocolate, Cafe Iveta, Bicycle Trip/Jacobs Family"	87	35	9	109
195	Pamper Yourself 5	50 Minute Hot Tub and Sauna for 2 at Well Within Day Spa and a Basket of Body Care Produts with Slippers	"Well Within Day Spa, Bicycle Trip/Jacobs Family"	86	34	9	108
196	Acupuncture 1	"Gift Certificate for a Consultation and Treatment with Karen Ann Jew, L.Ac. at Coral Phoenix Acupuncture"	Bicycle Trip/Jacobs Family	150	60	15	188
197	Massage 1	1.5 Hour Massage Session iwth Valerie Bambi Mishkin CMT at Bodymechanics	Bodymechanics	125	50	13	156
198	Zen Package 	Lotus Tea Light Candelabra and a $50 Gift Certificate to Flying Crane Massage	"OM Gallery, Bicycle Trip/Jacobs Family"	100	40	10	125
199	Acupuncture 2	Acupuncture Consultation and Treatment at Integrated Healing Therapies	Integrated Healing Therapies	110	44	11	138
200	Acupuncture 3	Acupuncture Consultation and Treatment at Integrated Healing Therapies	Integrated Healing Therapies	110	44	11	138
201	Massage 2	1 Hour Massage with Masseuse Kelly Girard	Bicycle Trip/Jacobs Family	75	30	8	94
202	Ask the Stars	Astrology Reading with Vicki Noble of Motherpeace Tarot	Vicki Noble	225	90	23	281
203	Salon & Snack	Signature Facial from Prima Salon and a $25 Gift Card to Gayle's Bakery	"Prima Salon, Gayle's Bakery"	115	46	12	144
204	Salon Basket	GIft Basket of Kevin Murphy Salon Products from Seaweed Hair Design	Seaweed Hair Design/Jonelle Badger	200	80	20	250
205	Pamper Yourself 3	$50 Gift Certificate for Salon Services at the Cosmo Factory Cosmetology Academy and a $40 Gift Card to Westside Beauty Supply	"The Cosmo Factory Cosmetology Academy, Westside Beauty Supply"	90	36	9	113
206	Pamper Yourself 4	$50 Gift Certificate for Salon Services at the Cosmo Factory Cosmetology Academy and a Ladies Faux Suede Walking Cap	"The Cosmo Factory Cosmetology Academy, Hat Co. of Santa Cruz"	86	34	9	108
207	Refresh & Rejuvenate	$300 towards any cosmetic treatment with Dr. Alexis Lane at Your Natural Look	Dr. Alexis Lane	300	120	30	375
208	Outdoor Photoshoot	45-60 Minute Sunset Photoshoot with Tatiana Scher of Little Darling Photo	Little Darling Photo/Tatiana Scher	500	200	50	625
209	Caricature Portrait	Family portrait of up to 5 people (or pets) by Emma Tipping of Cali Caricature	Cali Caricature/Emma Tipping	350	140	35	438
210	Aunt Lali's Treats Ice Cream Party	Ice Cream Truck Party for 10	Aunt Lali's Treats	50	20	5	63
211	Bowling Birthday Party	A 2-Hour Birthday Party for up to 10 People at Boardwalk Bowl with a Bowling Pin. Certificate can be used during Atomic Bowling or when open lanes are available (expires 3/30/18)	Boardwalk Bowl	275	110	28	344
212	Lunch Date with Norma	"Come and join Norma at Taqueria La Hacienda on Laurel St. across from Louden Nelson Park for lunch and to practice Spanish! The date will be for Tuesday June 13th at noon. Please be a part of an outing with a Salvadoran who loves Mexican food and kids!! I look forward to spending the hour with you, so bid bid bid!!!"		40	16	4	50
213	Lunch Date with Norma	"Come and join Norma at Taqueria La Hacienda on Laurel St. across from Louden Nelson Park for lunch and to practice Spanish! The date will be for Tuesday June 13th at noon. Please be a part of an outing with a Salvadoran who loves Mexican food and kids!! I look forward to spending the hour with you, so bid bid bid!!!"		40	16	4	50
214	Lunch Date with Norma	"Come and join Norma at Taqueria La Hacienda on Laurel St. across from Louden Nelson Park for lunch and to practice Spanish! The date will be for Tuesday June 13th at noon. Please be a part of an outing with a Salvadoran who loves Mexican food and kids!! I look forward to spending the hour with you, so bid bid bid!!!"		40	16	4	50
215	Lunch Date with Norma	"Come and join Norma at Taqueria La Hacienda on Laurel St. across from Louden Nelson Park for lunch and to practice Spanish! The date will be for Tuesday June 13th at noon. Please be a part of an outing with a Salvadoran who loves Mexican food and kids!! I look forward to spending the hour with you, so bid bid bid!!!"		40	16	4	50
216	Lunch Date with Norma	"Come and join Norma at Taqueria La Hacienda on Laurel St. across from Louden Nelson Park for lunch and to practice Spanish! The date will be for Tuesday June 13th at noon. Please be a part of an outing with a Salvadoran who loves Mexican food and kids!! I look forward to spending the hour with you, so bid bid bid!!!"		40	16	4	50
217	Lunch Date with Norma	"Come and join Norma at Taqueria La Hacienda on Laurel St. across from Louden Nelson Park for lunch and to practice Spanish! The date will be for Tuesday June 13th at noon. Please be a part of an outing with a Salvadoran who loves Mexican food and kids!! I look forward to spending the hour with you, so bid bid bid!!!"		40	16	4	50
218	Lunch Date with Norma	"Come and join Norma at Taqueria La Hacienda on Laurel St. across from Louden Nelson Park for lunch and to practice Spanish! The date will be for Tuesday June 13th at noon. Please be a part of an outing with a Salvadoran who loves Mexican food and kids!! I look forward to spending the hour with you, so bid bid bid!!!"		40	16	4	50
219	Lunch Date with Norma	"Come and join Norma at Taqueria La Hacienda on Laurel St. across from Louden Nelson Park for lunch and to practice Spanish! The date will be for Tuesday June 13th at noon. Please be a part of an outing with a Salvadoran who loves Mexican food and kids!! I look forward to spending the hour with you, so bid bid bid!!!"		40	16	4	50
220	Bowling with Teachers	50		50	20	5	63
221	Bowling with Teachers	50		50	20	5	63
222	Bowling with Teachers	50		50	20	5	63
223	Bowling with Teachers	50		50	20	5	63
224	Bowling with Teachers	50		50	20	5	63
225	Bowling with Teachers	50		50	20	5	63
226	Bowling with Teachers	50		50	20	5	63
227	Bowling with Teachers	50		50	20	5	63
228	Bowling with Teachers	50		50	20	5	63
229	Bowling with Teachers	50		50	20	5	63
230	Bowling with Teachers	50		50	20	5	63
231	Bowling with Teachers	50		50	20	5	63
232	Bowling with Teachers	50		50	20	5	63
233	Bowling with Teachers	50		50	20	5	63
234	Bowling with Teachers	50		50	20	5	63
235	Bowling with Teachers	50		50	20	5	63
236	Bowling with Teachers	50		50	20	5	63
237	Bowling with Teachers	50		50	20	5	63
238	Bowling with Teachers	50		50	20	5	63
239	Bowling with Teachers	50		50	20	5	63
240	Bowling with Teachers	50		50	20	5	63
241	Bowling with Teachers	50		50	20	5	63
242	Bowling with Teachers	50		50	20	5	63
243	Bowling with Teachers	50		50	20	5	63
244	Bowling with Teachers	50		50	20	5	63
245	Bowling with Teachers	50		50	20	5	63
246	Bowling with Teachers	50		50	20	5	63
247	Bowling with Teachers	50		50	20	5	63
248	Bowling with Teachers	50		50	20	5	63
249	Bowling with Teachers	50		50	20	5	63
250	Bowling with Teachers	50		50	20	5	63
251	Bowling with Teachers	50		50	20	5	63
252	Bowling with Teachers	50		50	20	5	63
253	Bowling with Teachers	50		50	20	5	63
254	Bowling with Teachers	50		50	20	5	63
255	Bowling with Teachers	50		50	20	5	63
256	Bowling with Teachers	50		50	20	5	63
257	Bowling with Teachers	50		50	20	5	63
258	Bowling with Teachers	50		50	20	5	63
259	Bowling with Teachers	50		50	20	5	63
260	Bowling with Teachers	50		50	20	5	63
261	Bowling with Teachers	50		50	20	5	63
262	Photo Booth	50			0	0	0
263	Photo Booth	50			0	0	0
264	Photo Booth	50			0	0	0
265	Photo Booth	50			0	0	0
266	Photo Booth	50			0	0	0
267	Photo Booth	50			0	0	0
268	Photo Booth	50			0	0	0
269	Photo Booth	50			0	0	0
270	Photo Booth				0	0	0
271	Photo Booth				0	0	0
272	Photo Booth				0	0	0
273	Photo Booth				0	0	0
274	Photo Booth				0	0	0
275	Photo Booth				0	0	0
276	Photo Booth				0	0	0
277	Photo Booth				0	0	0
278	Photo Booth				0	0	0
279	Photo Booth				0	0	0
280	Photo Booth				0	0	0
281	Photo Booth				0	0	0
282	Photo Booth				0	0	0
283	Photo Booth				0	0	0
284	Photo Booth				0	0	0
285	Photo Booth				0	0	0
286	Photo Booth				0	0	0
287	Photo Booth				0	0	0
288	Photo Booth				0	0	0
289	Photo Booth				0	0	0
290	Photo Booth				0	0	0
291	Photo Booth				0	0	0
292	Photo Booth				0	0	0
293	Photo Booth				0	0	0
294	Photo Booth				0	0	0
295	Photo Booth				0	0	0
296	Photo Booth				0	0	0
297	Photo Booth				0	0	0
298	Photo Booth				0	0	0
299	Photo Booth				0	0	0
300	Photo Booth				0	0	0
301	Photo Booth				0	0	0
302	Photo Booth				0	0	0
303	Kindergarten				0	0	0
304	Second Grade				0	0	0
305	Lenise for the Day				0	0	0
306	Fifth & Sixth Grade				0	0	0
307	"Summer House - Edelweiss Chalet in Big Trees, CA"				0	0	0
308	Third Grade				0	0	0
309	Principals for the Day				0	0	0
310	Pre-K				0	0	0
311	Bicycle Package for Two				0	0	0
312	Fourth Grade				0	0	0
313	First Grade				0	0	0
314	Fund-A-Need				0	0	0
315	Fund-A-Need				0	0	0
316	Fund-A-Need				0	0	0
317	Fund-A-Need				0	0	0
318	Fund-A-Need				0	0	0
319	Fund-A-Need				0	0	0
320	Fund-A-Need				0	0	0
321	Fund-A-Need				0	0	0
322	Fund-A-Need				0	0	0
323	Fund-A-Need				0	0	0
324	Fund-A-Need				0	0	0
325	Fund-A-Need				0	0	0
326	Fund-A-Need				0	0	0
327	Fund-A-Need				0	0	0
328	Fund-A-Need				0	0	0
329	Fund-A-Need				0	0	0
330	Fund-A-Need				0	0	0
331	Fund-A-Need				0	0	0
332	Fund-A-Need				0	0	0
333	Fund-A-Need				0	0	0
334	Fund-A-Need				0	0	0
335	Fund-A-Need				0	0	0
336	Fund-A-Need				0	0	0
337	Fund-A-Need				0	0	0
338	Fund-A-Need				0	0	0
339	Fund-A-Need				0	0	0
340	Fund-A-Need				0	0	0
341	Fund-A-Need				0	0	0
342	Fund-A-Need				0	0	0
343	Fund-A-Need				0	0	0
344	Fund-A-Need				0	0	0
345	Fund-A-Need				0	0	0
346	Fund-A-Need				0	0	0
347	Fund-A-Need				0	0	0
348	Fund-A-Need				0	0	0
349	Fund-A-Need				0	0	0
350	Fund-A-Need				0	0	0
351	Fund-A-Need				0	0	0
352	Fund-A-Need				0	0	0
353	Fund-A-Need				0	0	0
354	Fund-A-Need				0	0	0
355	Fund-A-Need				0	0	0
356	Fund-A-Need				0	0	0
357	Fund-A-Need				0	0	0
358	Fund-A-Need				0	0	0
359	Fund-A-Need				0	0	0
360	Fund-A-Need				0	0	0
361	Fund-A-Need				0	0	0
362	Fund-A-Need				0	0	0
363	Fund-A-Need				0	0	0
364	Fund-A-Need				0	0	0
365	Library Wish List	The Bus for Us		6.95	3	1	9
366	Library Wish List	They All Saw A Cat		10.86	4	1	14
367	Library Wish List	National Geographic Readers: Polar Bears		13.9	6	1	17
368	Library Wish List	DK Readers L2: Spaceships and Rockets		14.05	6	1	18
369	Library Wish List	Nanette's Baguette		9.89	4	1	12
370	Library Wish List	Ballet Cat - The Totally Secret Secret		9.71	4	1	12
371	Library Wish List	Hippos are Huge!		13.88	6	1	17
372	Library Wish List	What Do You Do with a Tail Like This?		13.48	5	1	17
373	Library Wish List	A Couple of Boys Have the Best Week Ever		14.49	6	1	18
374	Library Wish List	Otto's Backwards Day		11.57	5	1	14
375	Library Wish List	Pushing Up the Sky: Seven Native American Plays for Children		9.49	4	1	12
376	Library Wish List	Behold the Beautiful Dung Beetle		13.17	5	1	16
377	Library Wish List	The Invisible Dog		5.99	2	1	7
378	Library Wish List	The 13-Story Treehouse		8.53	3	1	11
379	Library Wish List	"Up, Up, in a Balloon"		11.95	5	1	15
380	Library Wish List	Stars (True Books)		5.59	2	1	7
381	Library Wish List	Rickshaw Girl		14.95	6	1	19
382	Library Wish List	Electrical Wizard: How Nikola Tesla Lit Up the World		14.99	6	1	19
383	Library Wish List	Animals by the Numbers: A Book of Infographics		14.81	6	1	19
384	Library Wish List	Hands-On Science: Matter and Materials		7.99	3	1	10
385	Library Wish List	The Puzzling World of Winston Breen		7.99	3	1	10
386	Library Wish List	The Hero's Guide to Saving Your Kingdom		11.67	5	1	15
387	Library Wish List	"When Dinos Dawned, Mammals Got Munched, and pterosaursTook Flight"		12.22	5	1	15
388	Library Wish List	Alamo All-Stars		9.18	4	1	11
389	Library Wish List	Firstborn		16.44	7	2	21
390	Library Wish List	All Rise for the Honorable Perry T. Cook		10.36	4	1	13
391	Library Wish List	Coding Games in Scratch		11.8	5	1	15
392	Library Wish List	"Sports Science: 40 Goal-Scoring, High-Flying, Medal-Winning Experiments for Kids"		16	6	2	20
393	Library Wish List	The Blackthorn Key		9.99	4	1	12
394	Library Wish List	The Last Dragonslayer		11.89	5	1	15
395	Library Wish List	Secrets of Mental Math: The Mathemagician's Guide to Lightnig Calculationand Amazing Math Tricks		10.2	4	1	13
396	Library Wish List	Make: Paper Inventions		12.22	5	1	15
397	50/50				0	0	0
398	50/50				0	0	0
399	50/50				0	0	0
400	50/50				0	0	0
401	50/50				0	0	0
402	50/50				0	0	0
403	50/50				0	0	0
404	50/50				0	0	0
405	50/50				0	0	0
406	50/50				0	0	0
407	50/50				0	0	0
408	50/50				0	0	0
409	50/50				0	0	0
410	50/50				0	0	0
411	50/50				0	0	0
412	50/50				0	0	0
413	50/50				0	0	0
414	50/50				0	0	0
415	50/50				0	0	0
416	50/50				0	0	0
417	50/50				0	0	0
418	50/50				0	0	0
419	50/50				0	0	0
420	50/50				0	0	0
421	50/50				0	0	0
422	50/50				0	0	0
423	50/50				0	0	0
424	50/50				0	0	0
425	50/50				0	0	0
426	50/50				0	0	0
427	50/50				0	0	0
428	50/50				0	0	0
429	50/50				0	0	0
430	50/50				0	0	0
431	50/50				0	0	0
432	50/50				0	0	0
433	50/50				0	0	0
434	50/50				0	0	0
435	50/50				0	0	0
436	50/50				0	0	0
437	50/50				0	0	0
438	50/50				0	0	0
439	50/50				0	0	0
440	50/50				0	0	0
441	50/50				0	0	0
442	50/50				0	0	0
443	50/50				0	0	0
444	50/50				0	0	0
445	50/50				0	0	0
446	50/50				0	0	0
447	50/50				0	0	0
448	50/50				0	0	0
449	50/50				0	0	0
450	50/50				0	0	0
451	Asus Chrome Book				0	0	0
452	Asus Chrome Book				0	0	0
453	Asus Chrome Book				0	0	0
454	Asus Chrome Book				0	0	0
455	Asus Chrome Book				0	0	0
456	Asus Chrome Book				0	0	0
457	Asus Chrome Book				0	0	0
458	Asus Chrome Book				0	0	0
459	Asus Chrome Book				0	0	0
460	Asus Chrome Book				0	0	0
461	Asus Chrome Book				0	0	0
462	Asus Chrome Book				0	0	0
463	Asus Chrome Book				0	0	0
464	Asus Chrome Book				0	0	0
465	Asus Chrome Book				0	0	0
466	Asus Chrome Book				0	0	0
